term_str,PC0,PC1,PC2,PC3,PC4
accord,-5.642427208804733e-06,-9.974139249282562e-06,-1.2581648285484679e-05,-1.0366488919014261e-05,-2.811324870066748e-06
accordance,-7.701796971081028e-06,-1.3302071444386119e-05,-2.118298283289703e-05,-1.3966243667949624e-05,-3.909604535379733e-05
according,-7.195006337380946e-06,-1.2793840901310617e-05,-1.638789910783617e-05,-1.6466445877441307e-05,1.1400043788926206e-06
accumulating,-5.642427208804733e-06,-9.974139249282562e-06,-1.2581648285484679e-05,-1.0366488919014261e-05,-2.811324870066748e-06
accurate,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
accuse,-8.74041997539093e-06,-1.5985066980022223e-05,-2.5230472845474876e-05,-3.927539897991643e-05,-6.82057268275537e-05
ace,-9.645741042460578e-06,-1.596537285183707e-05,-2.0575159724584228e-05,-1.1130128108385367e-05,1.2050913478848394e-06
achieve,-8.23098419447839e-06,-1.4753919463583356e-05,-1.928747653232824e-05,-2.3930846652193872e-05,8.714814004110368e-06
achieved,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
achilles,-1.5856829111036465e-05,-2.7153865628233805e-05,-3.4792675586487044e-05,-3.0597750800326606e-05,1.477312829814121e-06
aching,-7.701796971081028e-06,-1.3302071444386119e-05,-2.118298283289703e-05,-1.3966243667949624e-05,-3.909604535379733e-05
acid,-3.8508984855410906e-05,-6.651035722194058e-05,-0.00010591491416450115,-6.983121833975867e-05,-0.00019548022676901596
acorn,-0.00018174108721298276,0.0005387255238184894,4.7080698832621494e-05,1.170695079625849e-05,-1.6050777041469131e-06
acornmice,-9.087054360649138e-05,0.0002693627619092447,2.3540349416310747e-05,5.853475398129245e-06,-8.025388520734566e-07
acorns,-0.00018174108721298276,0.0005387255238184894,4.7080698832621494e-05,1.170695079625849e-05,-1.6050777041469131e-06
across,-1.8038160800029863e-05,-3.3906548693951965e-05,2.2873387181240973e-05,-3.8467731535431436e-05,0.00016584802827423627
